Feature,SVM,Logistic Regression,Random Forest,Hybrid Stacking Ensemble,Average Importance
country,0.23195185324116344,0.25366901018977783,0.24685309772744746,0.24331480458146204,0.24394719143496268
age,0.22355274691060767,0.1945263378126692,0.16827235799816184,0.20031069767080453,0.1966655350980608
oscore,0.12919221194561778,0.13560127766753732,0.1104858753154343,0.12538084234536664,0.125165051818489
ss,0.07932173740689456,0.07940803218090238,0.16157310251310059,0.11600170019258499,0.10907614307337063
cscore,0.08714155847805238,0.06969831125942084,0.08398699633410535,0.08281787140468802,0.08091118436906664
education,0.05847453951793955,0.06288685815431778,0.06831040255046035,0.06948344004109733,0.06478881006595374
gender,0.06576786927605807,0.06910591109073128,0.05341580575929654,0.05713239656009502,0.061355495671545225
impuslive,0.022767949178840667,0.03000724414213181,0.045361057414304434,0.03449621595463518,0.03315811667247802
escore,0.032315099412129504,0.034664727704364726,0.01979525952376958,0.01878602432923303,0.026390277742374207
ethnicity,0.02314680202952434,0.03470231078857469,0.005728310687082774,0.023731211109045358,0.02182715865355679
ascore,0.025291566528715014,0.02350855626747408,0.01644877816764109,0.018603997286542842,0.020963224562593256
nscore,0.021076065837817407,0.012221422712263915,0.019768955814471998,0.009940798288566593,0.015751810663279978
